country_code,region_code,name_slug,name,name_normalized,osm_relation_id,wikidata_id,is_capital,lon,lat
BR,RO,alta-floresta-doeste,Alta Floresta d'Oeste,Alta Floresta d'Oeste,325842,Q1761456,,-61.9998239,-11.9355403
BR,RO,ariquemes,Ariquemes,Ariquemes,325888,Q1646975,,-63.03326928,-9.908462867
BR,RO,cabixi,Cabixi,Cabixi,325882,Q940433,,-60.54431358,-13.49976346
BR,RO,cacoal,Cacoal,Cacoal,325872,Q1761637,,-61.44294421,-11.43386503
BR,RO,cerejeiras,Cerejeiras,Cerejeiras,325883,Q1803210,,-60.81842616,-13.19503303
BR,RO,colorado-do-oeste,Colorado do Oeste,Colorado do Oeste,325860,Q1785819,,-60.55506746,-13.13056384
BR,RO,corumbiara,Corumbiara,Corumbiara,325874,Q927349,,-60.94870117,-12.99752024
BR,RO,costa-marques,Costa Marques,Costa Marques,325844,Q656758,,-64.23165394,-12.43601388
BR,RO,espigao-doeste,Espigão d'Oeste,Espigao d'Oeste,325845,Q616498,,-61.02017311,-11.52855463
BR,RO,guajara-mirim,Guajará-Mirim,Guajara-Mirim,325856,Q983810,,-65.32395182,-10.77388374
BR,RO,jaru,Jaru,Jaru,325864,Q988755,,-62.47623071,-10.43594877
BR,RO,ji-parana,Ji-Paraná,Ji-Parana,325879,Q983815,,-61.94509458,-10.88205132
BR,RO,machadinho-doeste,Machadinho d'Oeste,Machadinho d'Oeste,325881,Q1786440,,-61.99959257,-9.42556248
BR,RO,nova-brasilandia-doeste,Nova Brasilândia d'Oeste,Nova Brasilandia d'Oeste,325857,Q2014329,,-62.30823016,-11.72132541
BR,RO,ouro-preto-do-oeste,Ouro Preto do Oeste,Ouro Preto do Oeste,325854,Q1803223,,-62.26105519,-10.7235739
BR,RO,pimenta-bueno,Pimenta Bueno,Pimenta Bueno,325843,Q1803175,,-61.18366567,-11.67753699
BR,RO,porto-velho,Porto Velho,Porto Velho,325855,Q172512,TRUE,-63.83144565,-8.76889179
BR,RO,presidente-medici,Presidente Médici,Presidente Medici,325892,Q1871362,,-61.90943868,-11.17320502
BR,RO,rio-crespo,Rio Crespo,Rio Crespo,325848,Q1786495,,-62.90001037,-9.70553671
BR,RO,rolim-de-moura,Rolim de Moura,Rolim de Moura,325876,Q1784242,,-61.78578094,-11.72225891
BR,RO,santa-luzia-doeste,Santa Luzia d'Oeste,Santa Luzia d'Oeste,325862,Q1802100,,-61.77330546,-11.90842333
BR,RO,vilhena,Vilhena,Vilhena,325887,Q1749958,,-60.13858387,-12.74137347
BR,RO,sao-miguel-do-guapore,São Miguel do Guaporé,Sao Miguel do Guapore,325863,Q1807456,,-62.72006348,-11.69948974
BR,RO,nova-mamore,Nova Mamoré,Nova Mamore,325849,Q993507,,-65.32914902,-10.41177129
BR,RO,alvorada-doeste,Alvorada d'Oeste,Alvorada d'Oeste,325853,Q1786028,,-62.27727487,-11.34413002
BR,RO,alto-alegre-dos-parecis,Alto Alegre dos Parecis,Alto Alegre dos Parecis,325858,Q1802050,,-61.85307717,-12.13177722
BR,RO,alto-paraiso,Alto Paraíso,Alto Paraiso,325870,Q607036,,-63.31762943,-9.716666738
BR,RO,buritis,Buritis,Buritis,325859,Q1921800,,-63.82967879,-10.20980541
BR,RO,novo-horizonte-do-oeste,Novo Horizonte do Oeste,Novo Horizonte do Oeste,325865,Q2013150,,-61.99438766,-11.70974292
BR,RO,cacaulandia,Cacaulândia,Cacaulandia,325847,Q1750177,,-62.90318993,-10.33887284
BR,RO,campo-novo-de-rondonia,Campo Novo de Rondônia,Campo Novo de Rondonia,325871,Q2089179,,-63.62499143,-10.56841647
BR,RO,candeias-do-jamari,Candeias do Jamari,Candeias do Jamari,325890,Q2078405,,-63.70002007,-8.785020704
BR,RO,castanheiras,Castanheiras,Castanheiras,325891,Q1785860,,-61.9491612,-11.42684223
BR,RO,chupinguaia,Chupinguaia,Chupinguaia,325852,Q735454,,-60.90184775,-12.55684076
BR,RO,cujubim,Cujubim,Cujubim,325880,Q1803135,,-62.58717453,-9.378193399
BR,RO,governador-jorge-teixeira,Governador Jorge Teixeira,Governador Jorge Teixeira,325894,Q964725,,-62.74045764,-10.61207177
BR,RO,itapua-do-oeste,Itapuã do Oeste,Itapua do Oeste,325893,Q1802170,,-63.18233702,-9.191871675
BR,RO,ministro-andreazza,Ministro Andreazza,Ministro Andreazza,325889,Q775204,,-61.51892193,-11.19623798
BR,RO,mirante-da-serra,Mirante da Serra,Mirante da Serra,325875,Q2079711,,-62.6694271,-11.04560929
BR,RO,monte-negro,Monte Negro,Monte Negro,325873,Q2014320,,-63.29555917,-10.26309776
BR,RO,nova-uniao,Nova União,Nova Uniao,325846,Q2364475,,-62.5550894,-10.91553204
BR,RO,parecis,Parecis,Parecis,325850,Q1803114,,-61.59799797,-12.17982705
BR,RO,pimenteiras-do-oeste,Pimenteiras do Oeste,Pimenteiras do Oeste,325885,Q1803105,,-61.044379,-13.476562
BR,RO,primavera-de-rondonia,Primavera de Rondônia,Primavera de Rondonia,325878,Q1802123,,-61.31654624,-11.82570695
BR,RO,sao-felipe-doeste,São Felipe d'Oeste,Sao Felipe d'Oeste,325877,Q1803269,,-61.51250811,-11.91438935
BR,RO,sao-francisco-do-guapore,São Francisco do Guaporé,Sao Francisco do Guapore,325851,Q1802095,,-63.57086471,-12.06379841
BR,RO,seringueiras,Seringueiras,Seringueiras,325867,Q727950,,-63.038761,-11.76711664
BR,RO,teixeiropolis,Teixeirópolis,Teixeiropolis,325861,Q1802088,,-62.25592225,-10.93216929
BR,RO,theobroma,Theobroma,Theobroma,325886,Q647208,,-62.34514553,-10.24873055
BR,RO,urupa,Urupá,Urupa,325884,Q2089326,,-62.37063245,-11.12854528
BR,RO,vale-do-anari,Vale do Anari,Vale do Anari,325868,Q1807445,,-62.17682344,-9.851392708
BR,RO,vale-do-paraiso,Vale do Paraíso,Vale do Paraiso,325869,Q2013187,,-62.13439036,-10.43105268
BR,AC,acrelandia,Acrelândia,Acrelandia,326273,Q953086,,-67.05231658,-10.07379389
BR,AC,assis-brasil,Assis Brasil,Assis Brasil,326269,Q1754403,,-69.56345917,-10.94286568
BR,AC,brasileia,Brasiléia,Brasileia,326270,Q899406,,-68.74794343,-11.01641102
BR,AC,bujari,Bujari,Bujari,326259,Q1754408,,-67.95185928,-9.820019627
BR,AC,capixaba,Capixaba,Capixaba,326268,Q1800737,,-67.67350797,-10.56976771
BR,AC,cruzeiro-do-sul,Cruzeiro do Sul,Cruzeiro do Sul,326274,Q941136,,-72.67253132,-7.630690005
BR,AC,epitaciolandia,Epitaciolândia,Epitaciolandia,326256,Q1755395,,-68.74486807,-11.02823983
BR,AC,feijo,Feijó,Feijo,326258,Q1994833,,-70.35398361,-8.16024753
BR,AC,jordao,Jordão,Jordao,326252,Q1800793,,-71.95087512,-9.19335786
BR,AC,mancio-lima,Mâncio Lima,Mancio Lima,326262,Q1772621,,-72.91650103,-7.593222594
BR,AC,manoel-urbano,Manoel Urbano,Manoel Urbano,326271,Q1772688,,-69.25994458,-8.836317737
BR,AC,marechal-thaumaturgo,Marechal Thaumaturgo,Marechal Thaumaturgo,326257,Q1772613,,-72.79026591,-8.953591123
BR,AC,placido-de-castro,Plácido de Castro,Placido de Castro,326267,Q964075,,-67.18826009,-10.33513328
BR,AC,porto-walter,Porto Walter,Porto Walter,326264,Q1772588,,-72.74233396,-8.266666363
BR,AC,rio-branco,Rio Branco,Rio Branco,326253,Q171612,TRUE,-67.8105287,-9.978298753
BR,AC,rodrigues-alves,Rodrigues Alves,Rodrigues Alves,326254,Q1800776,,-72.64785491,-7.733602034
BR,AC,santa-rosa-do-purus,Santa Rosa do Purus,Santa Rosa do Purus,326272,Q1772719,,-70.48649689,-9.443406537
BR,AC,senador-guiomard,Senador Guiomard,Senador Guiomard,326261,Q771763,,-67.74317236,-10.14817359
BR,AC,sena-madureira,Sena Madureira,Sena Madureira,326263,Q1754389,,-68.65568406,-9.065339505
BR,AC,tarauaca,Tarauacá,Tarauaca,326255,Q979910,,-70.75550106,-8.155668592
BR,AC,xapuri,Xapuri,Xapuri,326260,Q1012531,,-68.50629481,-10.65207194
BR,AC,porto-acre,Porto Acre,Porto Acre,326265,Q1772602,,-67.54059008,-9.600858231
BR,AM,alvaraes,Alvarães,Alvaraes,332499,Q1808573,,-64.81353468,-3.216583769
BR,AM,amatura,Amaturá,Amatura,332512,Q1772609,,-68.20961464,-3.366805188
BR,AM,anama,Anamã,Anama,332497,Q974915,,-61.40590348,-3.576370427
BR,AM,anori,Anori,Anori,332474,Q931090,,-61.65895538,-3.745385586
BR,AM,apui,Apuí,Apui,332502,Q1112525,,-59.8856661,-7.197870152
BR,AM,atalaia-do-norte,Atalaia do Norte,Atalaia do Norte,332473,Q1793319,,-70.18798928,-4.36615749
BR,AM,autazes,Autazes,Autazes,332503,Q1772695,,-59.13356709,-3.578663642
BR,AM,barcelos,Barcelos,Barcelos,332478,Q807939,,-62.92566966,-0.9728010525
BR,AM,barreirinha,Barreirinha,Barreirinha,332522,Q1772565,,-57.06775049,-2.798149837
BR,AM,benjamin-constant,Benjamin Constant,Benjamin Constant,332518,Q1767926,,-70.02734843,-4.374989019
BR,AM,beruri,Beruri,Beruri,332513,Q584172,,-61.37157089,-3.89451341
BR,AM,boa-vista-do-ramos,Boa Vista do Ramos,Boa Vista do Ramos,332464,Q940548,,-57.58770735,-2.971726532
BR,AM,boca-do-acre,Boca do Acre,Boca do Acre,332492,Q1793334,,-67.39957776,-8.751243196
BR,AM,borba,Borba,Borba,332495,Q2089660,,-59.59455902,-4.390619892
BR,AM,caapiranga,Caapiranga,Caapiranga,332501,Q945469,,-61.21133413,-3.330093392
BR,AM,canutama,Canutama,Canutama,332480,Q1807050,,-64.39423082,-6.529106076
BR,AM,carauari,Carauari,Carauari,332496,Q1794236,,-66.89663528,-4.881665904
BR,AM,careiro,Careiro,Careiro,332515,Q1751325,,-60.36380984,-3.82244727
BR,AM,careiro-da-varzea,Careiro da Várzea,Careiro da Varzea,332462,Q1807045,,-59.82631406,-3.197396595
BR,AM,coari,Coari,Coari,332521,Q645204,,-63.14218398,-4.084219159
BR,AM,codajas,Codajás,Codajas,332491,Q1762074,,-62.06342966,-3.843045933
BR,AM,eirunepe,Eirunepé,Eirunepe,332511,Q1646910,,-69.86629026,-6.667352567
BR,AM,envira,Envira,Envira,332488,Q1750090,,-70.03041254,-7.439817544
BR,AM,fonte-boa,Fonte Boa,Fonte Boa,332510,Q1793768,,-66.09650299,-2.512270685
BR,AM,guajara,Guajará,Guajara,332508,Q1808440,,-72.58243054,-7.547774415
BR,AM,humaita,Humaitá,Humaita,332523,Q1025760,,-63.02669802,-7.512224951
BR,AM,ipixuna,Ipixuna,Ipixuna,332520,Q1794374,,-71.69441806,-7.050980114
BR,AM,iranduba,Iranduba,Iranduba,332514,Q1761947,,-60.19338817,-3.281053878
BR,AM,itacoatiara,Itacoatiara,Itacoatiara,332524,Q1750426,,-58.44017544,-3.140378804
BR,AM,itamarati,Itamarati,Itamarati,332519,Q1102558,,-68.24791744,-6.437799349
BR,AM,itapiranga,Itapiranga,Itapiranga,332516,Q1808448,,-58.03454588,-2.741842752
BR,AM,japura,Japurá,Japura,332494,Q1757955,,-66.99690349,-1.880844859
BR,AM,jurua,Juruá,Jurua,332490,Q1008285,,-66.06304193,-3.474889599
BR,AM,jutai,Jutaí,Jutai,332506,Q684641,,-66.77132755,-2.744646447
BR,AM,labrea,Lábrea,Labrea,332504,Q386631,,-64.79477303,-7.261946553
BR,AM,manacapuru,Manacapuru,Manacapuru,332469,Q983526,,-60.62058945,-3.298278036
BR,AM,manaquiri,Manaquiri,Manaquiri,332467,Q1807976,,-60.45888131,-3.429079669
BR,AM,manaus,Manaus,Manaus,332493,Q40236,TRUE,-60.02333518,-3.134691491
BR,AM,manicore,Manicoré,Manicore,332463,Q43490,,-61.29924841,-5.813205261
BR,AM,maraa,Maraã,Maraa,332479,Q1763270,,-65.5742837,-1.866436877
BR,AM,maues,Maués,Maues,332475,Q1808581,,-57.71503439,-3.386427926
BR,AM,nhamunda,Nhamundá,Nhamunda,332482,Q1793306,,-56.71676991,-2.188983767
BR,AM,nova-olinda-do-norte,Nova Olinda do Norte,Nova Olinda do Norte,332481,Q1772535,,-59.09307403,-3.887592832
BR,AM,novo-airao,Novo Airão,Novo Airao,332468,Q1750332,,-60.94881071,-2.623432459
BR,AM,novo-aripuana,Novo Aripuanã,Novo Aripuana,332465,Q1793549,,-60.37704567,-5.122669314
BR,AM,parintins,Parintins,Parintins,332517,Q926713,,-56.73629215,-2.627052586
BR,AM,pauini,Pauini,Pauini,332509,Q1793494,,-67.00209749,-7.714043644
BR,AM,presidente-figueiredo,Presidente Figueiredo,Presidente Figueiredo,332498,Q655097,,-60.02564683,-2.058429085
BR,AM,rio-preto-da-eva,Rio Preto da Eva,Rio Preto da Eva,332500,Q1793560,,-59.70473809,-2.693301542
BR,AM,santa-isabel-do-rio-negro,Santa Isabel do Rio Negro,Santa Isabel do Rio Negro,332484,Q1754543,,-65.02002264,-0.4166948319
BR,AM,santo-antonio-do-ica,Santo Antônio do Içá,Santo Antonio do Ica,332505,Q970224,,-67.94648514,-3.107486309
BR,AM,sao-gabriel-da-cachoeira,São Gabriel da Cachoeira,Sao Gabriel da Cachoeira,332477,Q694840,,-67.0836429,-0.1364627881
BR,AM,sao-paulo-de-olivenca,São Paulo de Olivença,Sao Paulo de Olivenca,332507,Q1794983,,-68.94485349,-3.466509624
BR,AM,sao-sebastiao-do-uatuma,São Sebastião do Uatumã,Sao Sebastiao do Uatuma,332483,Q1793440,,-57.87034636,-2.57015258
BR,AM,silves,Silves,Silves,332471,Q2089673,,-58.21480086,-2.83642743
BR,AM,tabatinga,Tabatinga,Tabatinga,332466,Q22060342,,-69.94624438,-4.231883676
BR,AM,tapaua,Tapauá,Tapaua,332485,Q1794336,,-63.18709487,-5.624223518
BR,AM,tefe,Tefé,Tefe,332487,Q975545,,-64.70841966,-3.348372494
BR,AM,tonantins,Tonantins,Tonantins,332486,Q1793355,,-67.77648228,-2.86109125
